"Indicator Code","Country or Area Code","Country or Area","Time Code","Year","Value","Value Footnotes"
"SM.POP.NETM","AFG","Afghanistan","YR2012","2012","473007",""
"SM.POP.NETM","AFG","Afghanistan","YR2007","2007","-677497",""
"SM.POP.NETM","AFG","Afghanistan","YR2002","2002","804120",""
"SM.POP.NETM","AFG","Afghanistan","YR1997","1997","-379474",""
"SM.POP.NETM","AFG","Afghanistan","YR1992","1992","2227474",""
"SM.POP.NETM","AFG","Afghanistan","YR1987","1987","-1484185",""
"SM.POP.NETM","AFG","Afghanistan","YR1982","1982","-3418299",""
"SM.POP.NETM","AFG","Afghanistan","YR1977","1977","-1117459",""
"SM.POP.NETM","AFG","Afghanistan","YR1972","1972","-20000",""
"SM.POP.NETM","AFG","Afghanistan","YR1967","1967","-20000",""
"SM.POP.NETM","AFG","Afghanistan","YR1962","1962","-20000",""
"SM.POP.NETM","ALB","Albania","YR2012","2012","-91750",""
"SM.POP.NETM","ALB","Albania","YR2007","2007","-252926",""
"SM.POP.NETM","ALB","Albania","YR2002","2002","-175406",""
"SM.POP.NETM","ALB","Albania","YR1997","1997","-179606",""
"SM.POP.NETM","ALB","Albania","YR1992","1992","-443212",""
"SM.POP.NETM","ALB","Albania","YR1987","1987","-99",""
"SM.POP.NETM","ALB","Albania","YR1982","1982","-99",""
"SM.POP.NETM","ALB","Albania","YR1977","1977","-99",""
"SM.POP.NETM","ALB","Albania","YR1972","1972","-99",""
"SM.POP.NETM","ALB","Albania","YR1967","1967","-99",""
"SM.POP.NETM","ALB","Albania","YR1962","1962","-99",""
"SM.POP.NETM","DZA","Algeria","YR2012","2012","-143268",""
"SM.POP.NETM","DZA","Algeria","YR2007","2007","-357340",""
"SM.POP.NETM","DZA","Algeria","YR2002","2002","-205228",""
"SM.POP.NETM","DZA","Algeria","YR1997","1997","-164413",""
"SM.POP.NETM","DZA","Algeria","YR1992","1992","-128679",""
"SM.POP.NETM","DZA","Algeria","YR1987","1987","-93302",""
"SM.POP.NETM","DZA","Algeria","YR1982","1982","-81020",""
"SM.POP.NETM","DZA","Algeria","YR1977","1977","-224833",""
"SM.POP.NETM","DZA","Algeria","YR1972","1972","-247822",""
"SM.POP.NETM","DZA","Algeria","YR1967","1967","-121335",""
"SM.POP.NETM","DZA","Algeria","YR1962","1962","-284266",""
"SM.POP.NETM","AGO","Angola","YR2012","2012","102322",""
"SM.POP.NETM","AGO","Angola","YR2007","2007","85286",""
"SM.POP.NETM","AGO","Angola","YR2002","2002","172594",""
"SM.POP.NETM","AGO","Angola","YR1997","1997","-126701",""
"SM.POP.NETM","AGO","Angola","YR1992","1992","142811",""
"SM.POP.NETM","AGO","Angola","YR1987","1987","-150282",""
"SM.POP.NETM","AGO","Angola","YR1982","1982","234149",""
"SM.POP.NETM","AGO","Angola","YR1977","1977","11455",""
"SM.POP.NETM","AGO","Angola","YR1972","1972","-80955",""
"SM.POP.NETM","AGO","Angola","YR1967","1967","-201155",""
"SM.POP.NETM","AGO","Angola","YR1962","1962","-135000",""
"SM.POP.NETM","ATG","Antigua and Barbuda","YR2012","2012","-56",""
"SM.POP.NETM","ATG","Antigua and Barbuda","YR2007","2007","-92",""
"SM.POP.NETM","ATG","Antigua and Barbuda","YR2002","2002","-282",""
"SM.POP.NETM","ATG","Antigua and Barbuda","YR1997","1997","4421",""
"SM.POP.NETM","ATG","Antigua and Barbuda","YR1992","1992","2617",""
"SM.POP.NETM","ATG","Antigua and Barbuda","YR1987","1987","-7629",""
"SM.POP.NETM","ATG","Antigua and Barbuda","YR1982","1982","-8840",""
"SM.POP.NETM","ATG","Antigua and Barbuda","YR1977","1977","-3492",""
"SM.POP.NETM","ATG","Antigua and Barbuda","YR1972","1972","-2874",""
"SM.POP.NETM","ATG","Antigua and Barbuda","YR1967","1967","-1625",""
"SM.POP.NETM","ATG","Antigua and Barbuda","YR1962","1962","-1703",""
"SM.POP.NETM","ARB","Arab World","YR2012","2012","-1168750",""
"SM.POP.NETM","ARB","Arab World","YR2007","2007","4413525",""
"SM.POP.NETM","ARB","Arab World","YR2002","2002","396646",""
"SM.POP.NETM","ARB","Arab World","YR1997","1997","-1432980",""
"SM.POP.NETM","ARB","Arab World","YR1992","1992","293332",""
"SM.POP.NETM","ARB","Arab World","YR1987","1987","-1021606",""
"SM.POP.NETM","ARB","Arab World","YR1982","1982","103693",""
"SM.POP.NETM","ARB","Arab World","YR1977","1977","1697107",""
"SM.POP.NETM","ARB","Arab World","YR1972","1972","-876979",""
"SM.POP.NETM","ARB","Arab World","YR1967","1967","-849826",""
"SM.POP.NETM","ARB","Arab World","YR1962","1962","-485569",""
"SM.POP.NETM","ARG","Argentina","YR2012","2012","30000",""
"SM.POP.NETM","ARG","Argentina","YR2007","2007","-84998",""
"SM.POP.NETM","ARG","Argentina","YR2002","2002","-90000",""
"SM.POP.NETM","ARG","Argentina","YR1997","1997","-80000",""
"SM.POP.NETM","ARG","Argentina","YR1992","1992","29999",""
"SM.POP.NETM","ARG","Argentina","YR1987","1987","160002",""
"SM.POP.NETM","ARG","Argentina","YR1982","1982","139999",""
"SM.POP.NETM","ARG","Argentina","YR1977","1977","-230001",""
"SM.POP.NETM","ARG","Argentina","YR1972","1972","290000",""
"SM.POP.NETM","ARG","Argentina","YR1967","1967","130001",""
"SM.POP.NETM","ARG","Argentina","YR1962","1962","122001",""
"SM.POP.NETM","ARM","Armenia","YR2012","2012","-9876",""
"SM.POP.NETM","ARM","Armenia","YR2007","2007","-136009",""
"SM.POP.NETM","ARM","Armenia","YR2002","2002","-143966",""
"SM.POP.NETM","ARM","Armenia","YR1997","1997","-223873",""
"SM.POP.NETM","ARM","Armenia","YR1992","1992","-496288",""
"SM.POP.NETM","ARM","Armenia","YR1987","1987","-58313",""
"SM.POP.NETM","ARM","Armenia","YR1982","1982","-22331",""
"SM.POP.NETM","ARM","Armenia","YR1977","1977","35724",""
"SM.POP.NETM","ARM","Armenia","YR1972","1972","86404",""
"SM.POP.NETM","ARM","Armenia","YR1967","1967","103399",""
"SM.POP.NETM","ARM","Armenia","YR1962","1962","70335",""
"SM.POP.NETM","ABW","Aruba","YR2012","2012","1253",""
"SM.POP.NETM","ABW","Aruba","YR2007","2007","-441",""
"SM.POP.NETM","ABW","Aruba","YR2002","2002","6263",""
"SM.POP.NETM","ABW","Aruba","YR1997","1997","6926",""
"SM.POP.NETM","ABW","Aruba","YR1992","1992","14218",""
"SM.POP.NETM","ABW","Aruba","YR1987","1987","-5194",""
"SM.POP.NETM","ABW","Aruba","YR1982","1982","-1921",""
"SM.POP.NETM","ABW","Aruba","YR1977","1977","-5470",""
"SM.POP.NETM","ABW","Aruba","YR1972","1972","-3537",""
"SM.POP.NETM","ABW","Aruba","YR1967","1967","-4275",""
"SM.POP.NETM","ABW","Aruba","YR1962","1962","-4323",""
"SM.POP.NETM","AUS","Australia","YR2012","2012","1023107",""
"SM.POP.NETM","AUS","Australia","YR2007","2007","1132688",""
"SM.POP.NETM","AUS","Australia","YR2002","2002","575104",""
"SM.POP.NETM","AUS","Australia","YR1997","1997","377552",""
"SM.POP.NETM","AUS","Australia","YR1992","1992","351078",""
"SM.POP.NETM","AUS","Australia","YR1987","1987","666233",""
